code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2118,紫鑫药业,中成药,吉林,87.97,10.25,12.81,638833.69,440596.94,83936.65,215917.63,1.69,0.059,2.85,2.41,2007/3/2,77758.06,0.61,74.38,376.21,70.71,13.33,38497
2097,山河智能,工程机械,湖南,151.74,6.29,7.55,709210.19,448168.94,100261.15,96793.06,1.28,0.045,3.2,2.87,2006/12/22,56157.57,0.74,3.43,337.4,29.45,2.89,88179
2142,宁波银行,银行,浙江,8.49,34.52,39,83768928,0,334290.19,994823.63,2.55,1.627,11.65,1.58,2007/7/19,1984291.75,5.09,27.01,19.22,0,35.36,86763
300014,亿纬锂能,元器件,广东,60.85,4.1,4.29,438761.59,211420.47,101286.82,66863.75,1.56,0.587,4.55,7.85,2009/10/30,75444.96,1.76,73.45,66.43,29.2,10.76,44518
300420,五洋科技,机械基件,江苏,97.46,0.92,2.43,146126.38,83418.65,16887.35,69213.11,2.85,0.3,4.61,6.33,2015/2/17,16941.17,0.7,193.46,235.01,36.23,11.98,9234
2311,海大集团,饲料,广东,22.29,15.29,15.82,998934.81,520618.34,285007.63,148033.52,0.94,0.556,3.65,4.52,2009/11/27,245351.45,1.55,13.49,20.47,11.1,4.41,16288
300237,美晨科技,建筑施工,山东,44.2,3.47,8.07,496353.81,373021,30310.14,93887.9,1.16,0.301,3.02,5.86,2011/6/29,65737.72,0.81,63.87,140.25,33.6,14.4,14986
600429,三元股份,乳制品,北京,55.71,8.85,14.98,805041.56,471809.59,203459.91,426153.41,2.85,0.114,3.86,2.2,2003/9/15,-6047.53,-0.04,3.21,328.53,30.73,4.9,30949
2252,上海莱士,生物制药,上海,62.14,43.21,49.7,1304472.38,626786.13,103613,345790.75,0.7,0.248,2.37,8.68,2008/6/23,313359.22,0.63,8.36,5.63,64.33,76.29,31585
600104,上汽集团,汽车整车,上海,9.63,110.26,116.83,54494580,29309072,4209782.5,4098541.5,3.51,1.976,16.7,1.52,1997/11/25,9434767,8.08,11.5,8.6,12.42,4.41,103501
